Feature,TargetCorrelation,AbsCorrelation,Selected,Target,SelectionStage
ILD_to_MSFL,-0.527947455290291,0.527947455290291,False,Water Saturation Sw,test_train_validation
PEF,0.5184945862919693,0.5184945862919693,True,Water Saturation Sw,test_train_validation
MSFL_to_SFLU,0.4982940430552514,0.4982940430552514,True,Water Saturation Sw,test_train_validation
log10_MSFL,-0.4742626194559177,0.4742626194559177,True,Water Saturation Sw,test_train_validation
ILD_roll15_std,-0.4397390284945341,0.4397390284945341,True,Water Saturation Sw,test_train_validation
MSFL,-0.4209544796291305,0.4209544796291305,False,Water Saturation Sw,test_train_validation
SP,0.411817852851803,0.411817852851803,True,Water Saturation Sw,test_train_validation
GR_roll15_mean,0.3993175612765807,0.3993175612765807,True,Water Saturation Sw,test_train_validation
GR_roll5_mean,0.3824824260039154,0.3824824260039154,False,Water Saturation Sw,test_train_validation
GR,0.36921457532708024,0.36921457532708024,False,Water Saturation Sw,test_train_validation
CALI,0.3492642442944124,0.3492642442944124,True,Water Saturation Sw,test_train_validation
DRHO,0.34683298589118006,0.34683298589118006,True,Water Saturation Sw,test_train_validation
RHOB_roll15_std,0.2008228659188306,0.2008228659188306,True,Water Saturation Sw,test_train_validation
NPHI_minus_DRHO,-0.17620048220920184,0.17620048220920184,False,Water Saturation Sw,test_train_validation
NPHI,-0.1739901110436932,0.1739901110436932,False,Water Saturation Sw,test_train_validation
NPHI_roll5_mean,-0.16082026218158457,0.16082026218158457,False,Water Saturation Sw,test_train_validation
NPHI_roll15_mean,-0.14119804571330394,0.14119804571330394,False,Water Saturation Sw,test_train_validation
GR_roll15_std,-0.11550291643585715,0.11550291643585715,False,Water Saturation Sw,test_train_validation
DT_roll15_std,0.11230733397094837,0.11230733397094837,False,Water Saturation Sw,test_train_validation
NPHI_roll15_std,-0.10787413984972224,0.10787413984972224,False,Water Saturation Sw,test_train_validation
GR_DT_product,0.08670383697243134,0.08670383697243134,False,Water Saturation Sw,test_train_validation
NPHI_RHOB_product,-0.0015657800532840405,0.0015657800532840405,False,Water Saturation Sw,test_train_validation
